,CAS_Number,Chemical_Name,Species_Scientific_Name,Organism_Lifestage,Organism_Age_Mean,Organism_Age_Mean_Op,Exposure_Type,Media_Type,Test_Location,Number_of_Doses,Observed_Response_Mean,Observed_Response_Min,Observed_Response_Max,Observed_Response_Units,ld50_variance,ld50_se,ld50_sd,notes_ld50,Effect,Endpoint,Response_Site,aq_ter,paper code,sample_size,Title,Publication_Year,Observed_Duration_Days,Observed_Duration_Units_Days,Chemical_short,family,genus,Observed_Response_Units_std,Observed_Response_Mean_std,Observed_Response_Min_std,Observed_Response_Max_std
149,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis cerana,Not reported,NR,,Food,No substrate,Lab,6,0.5,0.4,0.6,ng/org,,,,,Mortality,LD50,Not reported,Terrestrial,2,120,Differential Physiological Effects of Neonicotinoid Insecticides on Honey Bees: A Comparison Between Apis mellifera and Apis cerana,2017,1,Day(s),Clothianidin,Apidae,Apis,ng/org,0.5,0.4,0.6
165,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,6,2,1.9,2.1,ng/org,,,,,Mortality,LD50,Not reported,Terrestrial,2,120,Differential Physiological Effects of Neonicotinoid Insecticides on Honey Bees: A Comparison Between Apis mellifera and Apis cerana,2017,1,Day(s),Clothianidin,Apidae,Apis,ng/org,2,1.9,2.1
5,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,NR,,"Diet, unspecified",No substrate,Lab,NR,0.066,0.059,0.073,ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,3,253,Apis mellifera (Insecta: Hymenoptera) in the Target of Neonicotinoids: A One-Way Ticket? Bioinsecticides can be an Alternative,2018,1,Day(s),Imidacloprid,Apidae,Apis,ng/org,66,59,73
35,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,NR,,"Topical, general",No substrate,Lab,NR,0.235,0.194,0.28,ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,3,352,Apis mellifera (Insecta: Hymenoptera) in the Target of Neonicotinoids: A One-Way Ticket? Bioinsecticides can be an Alternative,2018,1,Day(s),Imidacloprid,Apidae,Apis,ng/org,235,194,280
6,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Adult,NR,,Dermal,No substrate,Lab,6,0.0308,NA,NA,AI ug/org,,,0.0308±0.0218,meanLD50±SD,Mortality,LD50,Not reported,Terrestrial,4,60,Toxicity and Motor Changes in Africanized Honey Bees (Apis mellifera L.) Exposed to Fipronil and Imidacloprid,2018,1,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,30.8,NA,NA
10,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,6,0.1079,NA,NA,AI ug/org,,,0.1079±0.0375,meanLD50±SD,Mortality,LD50,Not reported,Terrestrial,4,60,Toxicity and Motor Changes in Africanized Honey Bees (Apis mellifera L.) Exposed to Fipronil and Imidacloprid,2018,1,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,107.9,NA,NA
7,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Larva,1,,"Environmental, unspecified",No substrate,Lab,10,1400,NA,NA,ng/org,,,,NR,Reproduction,LD50,Not reported,Terrestrial,5,1000,Impaired Olfactory Associative Behavior of Honeybee Workers due to Contamination of Imidacloprid in the Larval Stage,2012,15,Day(s),Imidacloprid,Apidae,Apis,ng/org,1400,NA,NA
8,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Adult,NR,,"Topical, general",No substrate,Lab,NR,50,9.1,71,AI ng/org,,,,,Mortality,LD50,Not reported,Terrestrial,6,30,Toxicity and Nicotinic Acetylcholine Receptor Interaction of Imidacloprid and Its Metabolites in Apis mellifera (Hymenoptera: Apidae),2001,2,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,50,9.1,71
16,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Adult,NR,,Food,No substrate,Lab,NR,81,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,6,30,Toxicity and Nicotinic Acetylcholine Receptor Interaction of Imidacloprid and Its Metabolites in Apis mellifera (Hymenoptera: Apidae),2001,2,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,81,NA,NA
9,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Adult,NR,,Dermal,Not coded,Lab,NC,0.078,0.0675,0.0901,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,2,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,78,67.5,90.1
21,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Adult,NR,,Food,Not coded,Lab,NC,0.0039,0.0027,0.0054,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,2,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,3.9,2.7,5.4
77,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,Dermal,Not coded,Lab,NC,0.46,0.34,0.68,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,460,340,680
85,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,Food,Not coded,Lab,NC,0.005,NA,NA,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,5,NA,NA
87,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,Dermal,Not coded,Lab,NC,0.023,0.017,0.034,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,23,17,34
89,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,Food,Not coded,Lab,NC,4.4,2.5,7.2,AI ng/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,4,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,4.4,2.5,7.2
90,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,Dermal,Not coded,Lab,NC,34.4,17.9,92.6,AI ng/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,4,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,34.4,17.9,92.6
91,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,Dermal,Not coded,Lab,NC,0.093,0.065,0.131,ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,2,Day(s),Thiamethoxam,Apidae,Apis,ng/org,93,65,131
92,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,Dermal,Not coded,Lab,NC,0.024,NA,NA,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,24,NA,NA
93,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,Dermal,Not coded,Lab,NC,0.0198,0.0163,0.0237,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,19.8,16.3,23.7
101,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,Food,Not coded,Lab,NC,0.00309,0.00256,0.00366,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,3.09,2.56,3.66
139,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Bombus terrestris,Adult,NR,,Dermal,Not coded,Lab,NC,0.11,0.1,0.13,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,3,Day(s),Thiamethoxam,Apidae,Bombus,AI ng/org,110,100,130
140,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Bombus terrestris,Adult,NR,,Food,Not coded,Lab,NC,0.02,0.01,0.04,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,3,Day(s),Thiamethoxam,Apidae,Bombus,AI ng/org,20,10,40
157,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Adult,NR,,Food,Not coded,Lab,NC,0.0157,0.0135,0.0181,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,2,Day(s),Clothianidin,Apidae,Apis,AI ng/org,15.7,13.5,18.1
158,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Adult,NR,,Food,Not coded,Lab,NC,0.00368,0.00303,0.00445,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,2,Day(s),Clothianidin,Apidae,Apis,AI ng/org,3.68,3.03,4.45
159,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Adult,NR,,Dermal,Not coded,Lab,NC,0.0275,0.0227,0.034,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,2,Day(s),Clothianidin,Apidae,Apis,AI ng/org,27.5,22.7,34
163,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Adult,NR,,Dermal,Not coded,Lab,NC,0.0439,0.0296,0.0652,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,2,Day(s),Clothianidin,Apidae,Apis,AI ng/org,43.9,29.6,65.2
164,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Larva,NR,,Food,Not coded,Lab,NC,0.00528,NA,NA,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,8,Day(s),Clothianidin,Apidae,Apis,AI ng/org,5.28,NA,NA
210,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera,Adult,NR,,Food,Not coded,Lab,NC,8.96,8.13,9.94,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,2,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,8960,8130,9940
211,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera,Adult,NR,,Dermal,Not coded,Lab,NC,12.5,NA,NA,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,3,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,12500,NA,NA
212,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera,Larva,NR,,Food,Not coded,Lab,NC,1.16,0.72,1.56,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,3,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,1160,720,1560
217,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera,Adult,NR,,Food,Not coded,Lab,NC,10.21,NA,NA,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,3,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,10210,NA,NA
219,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera,Adult,NR,,Dermal,Not coded,Lab,NC,10.53,6.69,17.74,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,2,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,10530,6690,17740
242,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Bombus terrestris,Adult,NR,,Food,Not coded,Lab,NC,22.2,13.2,187.3,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,2,Day(s),Acetamiprid,Apidae,Bombus,AI ng/org,22200,13200,187300
243,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Bombus terrestris,Adult,NR,,Dermal,Not coded,Lab,NC,100,NA,NA,AI ug/org,,,,,Mortality,LD50,Not coded,Terrestrial,7,,Pesticide Ecotoxicity Database: Bee Studies,2020,2,Day(s),Acetamiprid,Apidae,Bombus,AI ng/org,1e+05,NA,NA
12,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Adult,NR,,Food,No substrate,Lab,6,80.9,NA,NA,ng/org,,,2.781±1.757,slope±SD,Mortality,LD50,Not reported,Terrestrial,8,180,Brain Morphophysiology of Africanized Bee Apis mellifera Exposed to Sublethal Doses of Imidacloprid,2013,2,Day(s),Imidacloprid,Apidae,Apis,ng/org,80.9,NA,NA
13,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Adult,20,,Food,No substrate,Lab,7,0.08092,NA,NA,AI ug/org,,,0.08092±0.0135,meanLD50±SD,Mortality,LD50,Not reported,Terrestrial,9,210,Evaluation of Motor Changes and Toxicity of Insecticides Fipronil and Imidacloprid in Africanized Honey Bees (Hymenoptera: Apidae),2017,1,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,80.92,NA,NA
20,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Adult,20,,Dermal,No substrate,Lab,7,0.0626,NA,NA,AI ug/org,,,0.0626±0.0080,meanLD50±SD,Mortality,LD50,Not reported,Terrestrial,9,210,Evaluation of Motor Changes and Toxicity of Insecticides Fipronil and Imidacloprid in Africanized Honey Bees (Hymenoptera: Apidae),2017,1,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,62.6,NA,NA
14,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,NR,,"Spray, unspecified",No substrate,Lab,'7-8,0.19,NA,NA,AI ug/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,10,525,Spray Toxicity and Risk Potential of 42 Commonly Used Formulations of Row Crop Pesticides to Adult Honey Bees (Hymenoptera: Apidae),2015,2,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,190,NA,NA
32,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,NR,,"Spray, unspecified",No substrate,Lab,'7-8,0.87,NA,NA,ug/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,10,525,Spray Toxicity and Risk Potential of 42 Commonly Used Formulations of Row Crop Pesticides to Adult Honey Bees (Hymenoptera: Apidae),2015,2,Day(s),Imidacloprid,Apidae,Apis,ng/org,870,NA,NA
78,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Not reported,NR,,"Spray, unspecified",No substrate,Lab,'7-8,0.04,NA,NA,AI ug/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,10,525,Spray Toxicity and Risk Potential of 42 Commonly Used Formulations of Row Crop Pesticides to Adult Honey Bees (Hymenoptera: Apidae),2015,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,40,NA,NA
100,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Not reported,NR,,"Spray, unspecified",No substrate,Lab,'7-8,0.1,NA,NA,ug/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,10,525,Spray Toxicity and Risk Potential of 42 Commonly Used Formulations of Row Crop Pesticides to Adult Honey Bees (Hymenoptera: Apidae),2015,2,Day(s),Thiamethoxam,Apidae,Apis,ng/org,100,NA,NA
156,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Not reported,NR,,"Spray, unspecified",No substrate,Lab,'7-8,0.03,NA,NA,AI ug/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,10,525,Spray Toxicity and Risk Potential of 42 Commonly Used Formulations of Row Crop Pesticides to Adult Honey Bees (Hymenoptera: Apidae),2015,2,Day(s),Clothianidin,Apidae,Apis,AI ng/org,30,NA,NA
162,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Not reported,NR,,"Spray, unspecified",No substrate,Lab,'7-8,0.11,NA,NA,ug/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,10,525,Spray Toxicity and Risk Potential of 42 Commonly Used Formulations of Row Crop Pesticides to Adult Honey Bees (Hymenoptera: Apidae),2015,2,Day(s),Clothianidin,Apidae,Apis,ng/org,110,NA,NA
218,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera,Not reported,NR,,"Spray, unspecified",No substrate,Lab,'7-8,395.5,NA,NA,ug/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,10,525,Spray Toxicity and Risk Potential of 42 Commonly Used Formulations of Row Crop Pesticides to Adult Honey Bees (Hymenoptera: Apidae),2015,2,Day(s),Acetamiprid,Apidae,Apis,ng/org,395500,NA,NA
221,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera,Not reported,NR,,"Spray, unspecified",No substrate,Lab,'7-8,276.85,NA,NA,AI ug/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,10,525,Spray Toxicity and Risk Potential of 42 Commonly Used Formulations of Row Crop Pesticides to Adult Honey Bees (Hymenoptera: Apidae),2015,2,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,276850,NA,NA
15,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Adult,NR,,Dermal,No substrate,Lab,>=6,0.0671,0.0438,0.1018,ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,11,60,Potential Impacts of Synergism in Honeybees (Apis mellifera) of Exposure to Neonicotinoids and Sprayed Fungicides in Crops,2014,2,Day(s),Imidacloprid,Apidae,Apis,ng/org,67.1,43.8,101.8
29,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Adult,NR,,Food,No substrate,Lab,>=6,0.536,0.339,1.184,ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,11,60,Potential Impacts of Synergism in Honeybees (Apis mellifera) of Exposure to Neonicotinoids and Sprayed Fungicides in Crops,2014,2,Day(s),Imidacloprid,Apidae,Apis,ng/org,536,339,1184
79,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,Dermal,No substrate,Lab,>=6,0.0373,0.0297,0.0466,ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,11,60,Potential Impacts of Synergism in Honeybees (Apis mellifera) of Exposure to Neonicotinoids and Sprayed Fungicides in Crops,2014,2,Day(s),Thiamethoxam,Apidae,Apis,ng/org,37.3,29.7,46.6
